MGLU3, Magazine Luiza SA
PETR4, Petroleo Brasileiro SA Petrobras
PETR3, Petroleo Brasileiro SA Petrobras
VALE3, Vale SA
HAPV3, Hapvida Participacoes e Investimentos SA
BBDC4, Banco Bradesco SA
ITUB4, Itau Unibanco Holding SA
BBAS3, Banco do Brasil SA
ABEV3, Ambev SA
RENT3, Localiza Rent a Car SA
LREN3, Lojas Renner SA
B3SA3, B3 SA Brasil Bolsa Balcao
SUZB3, Suzano SA
NTCO3, Natura &Co Holding SA
VVAR3, Via Varejo SA
GNDI3, Notre Dame Intermédica Participações SA
RADL3, Raia Drogasil SA
BRDT3, Petrobras Distribuidora SA
CYRE3, Cyrela Brazil Realty SA Empreendimentos e Participacoes